file,,
access,,accdb:accdt:mdb:accda:accdc:accde:accdp:accdr:accdu:ade:adp:laccdb:ldb:mam:maq:mdw
access2,,accdb:accdt:mdb:accda:accdc:accde:accdp:accdr:accdu:ade:adp:laccdb:ldb:mam:maq:mdw
actionscript,,as
actionscript2,,as
ada,,ada
advpl,,prw
ai,,ai
ai2,,ai
al,,al
affinitydesigner,,afdesign:affinitydesigner
affinityphoto,,afphoto:affinityphoto
affinitypublisher,,afpub:affinitypublisher
angular,.angular-cli.json:angular-cli.json:angular.json:.angular.json,
ng_component_dart,,component.dart
ng_component_ts,,component.ts
ng_component_js,,component.js
ng_controller_ts,,controller.ts
ng_controller_js,,controller.js
ng_directive_dart,,directive.dart
ng_directive_ts,,directive.ts
ng_directive_js,,directive.js
ng_guard_dart,,guard.dart
ng_guard_ts,,guard.ts
ng_guard_js,,guard.js
ng_module_dart,,module.dart
ng_module_ts,,module.ts
ng_module_js,,module.js
ng_pipe_dart,,pipe.dart
ng_pipe_ts,,pipe.ts
ng_pipe_js,,pipe.js
ng_routing_dart,,routing.dart
ng_routing_ts,,routing.ts
ng_routing_js,,routing.js
ng_routing_dart,app-routing.module.dart,
ng_routing_ts,app-routing.module.ts,
ng_routing_js,app-routing.module.js,
ng_smart_component_dart,,page.dart:container.dart
ng_smart_component_ts,,page.ts:container.ts
ng_smart_component_js,,page.js:container.js
ng_service_dart,,service.dart
ng_service_ts,,service.ts
ng_service_js,,service.js
ng_interceptor_dart,,interceptor.dart
ng_interceptor_ts,,interceptor.ts
ng_interceptor_js,,interceptor.js
ng_component_ts2,,component.ts
ng_component_js2,,component.js
ng_directive_ts2,,directive.ts
ng_directive_js2,,directive.js
ng_module_ts2,,module.ts
ng_module_js2,,module.js
ng_pipe_ts2,,pipe.ts
ng_pipe_js2,,pipe.js
ng_routing_ts2,,routing.ts
ng_routing_js2,,routing.js
ng_routing_ts2,app-routing.module.ts,
ng_routing_js2,app-routing.module.js,
ng_smart_component_ts2,,page.ts:container.ts
ng_smart_component_js2,,page.js:container.js
ng_service_ts2,,service.ts
ng_service_js2,,service.js
ng_tailwind,ng-tailwind.js,
affectscript,,affect
ansible,,ansible
antlr,,g4
anyscript,,any
apache,,htaccess
apex,,cls
apib,,apib
api_extractor,api-extractor.json:api-extractor-base.json,
apl,,apl
applescript,,applescript
appsemble,.appsemblerc.yaml:app-definition.yaml,
appveyor,appveyor.yml:.appveyor.yml,
arduino,,ino:pde
asciidoc,,adoc
asp,,asp
aspx,,aspx:ascx
assembly,,asm
astro,,astro
astroconfig,astro.config.js:astro.config.cjs:astro.config.mjs,
ats,,ats
audio,,aac:act:aiff:amr:ape:au:dct:dss:dvf:flac:gsm:iklax:ivs:m4a:m4b:m4p:mmf:mogg:mp3:mpc:msv:oga:ogg:opus:ra:raw:tta:vox:wav:wma
aurelia,aurelia.json,
autohotkey,,ahk
autoit,,au3
avif,,avif
avro,,avcs
awk,,awk
aws,,
azure,,azcli
azurepipelines,azure-pipelines.yml:.vsts-ci.yml,azure-pipelines.yml
babel,.babelrc:.babelignore:.babelrc.js:.babelrc.cjs:.babelrc.mjs:.babelrc.json:babel.config.js:babel.config.cjs:babel.config.mjs:babel.config.json,
babel2,.babelrc:.babelignore:.babelrc.js:.babelrc.cjs:.babelrc.mjs:.babelrc.json:babel.config.js:babel.config.cjs:babel.config.mjs:babel.config.json,
ballerina,,bal
bat,,bat
bats,,bats
bazaar,.bzrignore,
bazel,BUILD.bazel:.bazelrc:bazel.rc:bazel.bazelrc,bzl:bazel
befunge,,bf
bicep,,bicep
biml,,biml
binary,,a:app:bin:cmo:cmx:cma:cmxa:cmi:dll:exe:hl:ilk:lib:n:ndll:o:obj:pyc:pyd:pyo:pdb:scpt:scptd:so
bithound,.bithoundrc,
bitbucketpipeline,bitbucket-pipelines.yml,
blade,,blade.php
blitzbasic,,bb:blitzbasic
bolt,,bolt
bosque,,bsq
bower,.bowerrc:bower.json,
browserslist,.browserslistrc:browserslist,
buckbuild,.buckconfig,
bundler,,gemfile:gemfile.lock
bundler,gemfile:gemfile.lock,
c,,c
c2,,c
c3,,c
c_al,,cal
cabal,,cabal
caddy,,caddyfile
cake,,cake
cakephp,,
capacitor,capacitor.config.json,
cargo,cargo.toml:cargo.lock,
casc,,casc
cddl,,cddl
cert,,csr:crt:cer:der:pfx:p12:p7b:p7r:src:crl:sst:stl
ceylon,,ceylon
cf,,lucee:cfml
cf2,,lucee:cfml
cfc,,cfc
cfc2,,cfc
cfm,,cfm
cfm2,,cfm
cheader,,h
chef,chefignore:berksfile:berksfile.lock:policyfile.rb:policyfile.lock.json,
class,,class
circleci,circle.yml,
clojure,,cjm:cljc:clojure
clojurescript,,cljs:clojurescript
cloudfoundry,.cfignore,yml
cmake,,cmake:cmakecache.txt
cobol,,cbl
codeql,,ql
codacy,.codacy.yml:.codacy.yaml,
codeclimate,.codeclimate.yml,
codecov,codecov.yml:.codecov.yml,
codekit,,kit
codekit,config.codekit:config.codekit2:config.codekit3:.config.codekit:.config.codekit2:.config.codekit3,
coffeelint,coffeelint.json:.coffeelintignore,
coffeescript,,coffee
conan,conanfile.txt:conanfile.py,
conda,.condarc,
config,,plist:properties:env
commitlint,commitlint.config.js:.commitlintrc.js:.commitlintrc.json:.commitlintrc.yml,
compass,,
composer,composer.json:composer.lock,
chef_cookbook,,ckbk
confluence,,confluence
coveralls,.coveralls.yml,
cpp,,cpp
cpp2,,cpp
cpp3,,cpp
cppheader,,hpp:hh:hxx:h++
crowdin,crowdin.yml,
crystal,,cr
csharp,,csx:cs
csharp2,,csx:cs
csproj,,csproj
css,,css
csscomb,.csscomb.json,
csslint,.csslintrc,
cssmap,,css.map
cucumber,,feature
cuda,,cu
cython,,pyx
cypress,cypress.json:cypress.env.json,
cvs,.cvsignore,
dal,,dal
darcs,.boringignore,
dartlang,,dart
db,,db
dependabot,dependabot.yml,
dependencies,dependencies.yml,
delphi,,pas
devcontainer,devcontainer.json,
django,,djt:html
dlang,,d
diff,,diff
docker,compose.yaml:compose.yml:docker-compose.yaml:docker-compose.yml:docker-compose.ci-build.yaml:docker-compose.ci-build.yml:docker-compose.override.yaml:docker-compose.override.yml:docker-compose.vs.debug.yaml:docker-compose.vs.debug.yml:docker-compose.vs.release.yaml:docker-compose.vs.release.yml:docker-cloud.yaml:docker-cloud.yml,dockerfile:dockerignore
docker2,compose.yaml:compose.yml:docker-compose.yaml:docker-compose.yml:docker-compose.ci-build.yaml:docker-compose.ci-build.yml:docker-compose.override.yaml:docker-compose.override.yml:docker-compose.vs.debug.yaml:docker-compose.vs.debug.yml:docker-compose.vs.release.yaml:docker-compose.vs.release.yml:docker-cloud.yaml:docker-cloud.yml,dockerfile:dockerignore
dockertest,docker-compose.test.yml,
dockertest2,docker-compose.test.yml,
docpad,,eco
docz,.doczrc:docz.js:docz.json:.docz.js:.docz.json:doczrc.js:doczrc.json:docz.config.js:docz.config.json,
dojo,.dojorc,
doxygen,,dox
drawio,,drawio:dio .drawio.png:.drawio.svg
drone,.drone.yml:.drone.yml.sig,
drools,,drl
dotjs,,dot
dustjs,,dust
dvc,.dvc,
dylan,,dylan
editorconfig,.editorconfig,
edge,,edge
edge2,,edge
eex,,eex
ejs,,ejs
elastic,,es
elasticbeanstalk,,
elixir,,ex
elm,elm-package.json,elm
elm2,elm-package.json,elm
emacs,,el:elc
ember,.ember-cli,
ensime,,ensime
eps,,eps
erb,,erb
erlang,emakefile:.emakerfile,erl
erlang2,emakefile:.emakerfile,erl
eslint,.eslintrc:.eslintignore:.eslintcache:.eslintrc.js:.eslintrc.mjs:.eslintrc.cjs:.eslintrc.json:.eslintrc.yaml:.eslintrc.yml,
eslint2,.eslintrc:.eslintignore:.eslintcache:.eslintrc.js:.eslintrc.mjs:.eslintrc.cjs:.eslintrc.json:.eslintrc.yaml:.eslintrc.yml,
excel,,xls:xlsx:xlsm:ods:fods
excel2,,xls:xlsx:xlsm:ods:fods
expo,app.json:app.config.js:app.config.json:app.config.json5,
falcon,,falcon
fauna,.faunarc,fql
favicon,favicon.ico,
fbx,,fbx
firebase,.firebaserc,
firebasehosting,firebase.json,
firestore,firestore.rules:firestore.indexes.json,
flash,,swf:swc
fla,,fla
floobits,.flooignore,
flow,,js.flow
flow,.flowconfig,
flutter,.flutter-plugins:.metadata,
flutter_package,pubspec.lock:pubspec.yaml:.packages,
font,,woff:woff2:ttf:otf:eot:pfa:pfb:sfd
fortran,,f
fossa,.fossaignore,
fossil,ignore-glob,
fsharp,,fs
fsproj,,fsproj
freemarker,,ftl
fthtml,,fthtml
fusebox,fuse.js,
galen,,gspec
galen2,,gspec
git,.gitattributes:.gitconfig:.gitignore:.gitmodules:.gitkeep:.mailmap,git
gamemaker,,gmx:gml
gamemaker2,,yy:yyp:gml
gamemaker81,,gml
gatsby,gatsby-config.js:gatsby-config.ts:gatsby-node.js:gatsby-node.ts:gatsby-browser.js:gatsby-browser.ts:gatsby-ssr.js:gatsby-ssr.ts,
gcode,,gcode
genstat,,gen
gitlab,.gitlab-ci.yml,
gitpod,.gitpod.yaml:.gitpod.yml:gitpod.yaml:gitpod.yml,
glide,glide.yml,
glitter,.glitterrc,
glsl,,glsl
glyphs,,glyphs
gnuplot,,gp
go,,go
go_package,go.sum:go.mod,
godot,,gd
gradle,,gradle
gradle2,,gradle
graphql,.gqlconfig,gql
graphql_config,.graphqlconfig:.graphqlconfig.yml:.graphqlconfig.yaml,
graphviz,,gv
greenkeeper,greenkeeper.json,
gridsome,gridsome.config.js:gridsome.config.ts:gridsome.server.js:gridsome.server.ts:gridsome.client.js:gridsome.client.ts,
groovy,,groovy
groovy2,,groovy
grunt,gruntfile.js:gruntfile.coffee:gruntfile.ts:gruntfile.babel.js:gruntfile.babel.coffee:gruntfile.babel.ts,
gulp,gulpfile.js:gulpfile.coffee:gulpfile.ts:gulpfile.mjs:gulpfile.esm.js:gulpfile.esm.coffee:gulpfile.esm.ts:gulpfile.esm.mjs:gulpfile.babel.js:gulpfile.babel.coffee:gulpfile.babel.ts:gulpfile.babel.mjs,
haml,,haml
handlebars,,hbs
handlebars2,,hbs
harbour,,prg
haskell,,hs:lhs
haskell2,,hs:lhs
haxe,haxelib.json,haxe
haxecheckstyle,checkstyle.json,
haxedevelop,,hxproj
helix,.p4ignore,
helm,,helm.tpl
hjson,,hjson
hlsl,,hlsl
homeassistant,,yaml
horusec,horusec-config.json,
host,,hosts
